example_index,task_id,op_type,condition,website,confirmed_task
0,013781df-4391-4533-bcb1-15f6819064f6,CLICK,Outcome-Aware,tiktok.music,What are the romantic reggae musics from BCD Studio that can be used in tik tok series in andorra
1,013781df-4391-4533-bcb1-15f6819064f6,CLICK,Outcome-Aware,tiktok.music,What are the romantic reggae musics from BCD Studio that can be used in tik tok series in andorra
2,013781df-4391-4533-bcb1-15f6819064f6,CLICK,Outcome-Aware,tiktok.music,What are the romantic reggae musics from BCD Studio that can be used in tik tok series in andorra
3,013781df-4391-4533-bcb1-15f6819064f6,CLICK,Outcome-Aware,tiktok.music,What are the romantic reggae musics from BCD Studio that can be used in tik tok series in andorra
4,013781df-4391-4533-bcb1-15f6819064f6,CLICK,Outcome-Aware,tiktok.music,What are the romantic reggae musics from BCD Studio that can be used in tik tok series in andorra
5,013781df-4391-4533-bcb1-15f6819064f6,TYPE,Outcome-Aware,tiktok.music,What are the romantic reggae musics from BCD Studio that can be used in tik tok series in andorra
6,013781df-4391-4533-bcb1-15f6819064f6,CLICK,Outcome-Aware,tiktok.music,What are the romantic reggae musics from BCD Studio that can be used in tik tok series in andorra
7,532cab96-a12d-4b7f-82e1-c1c0c82e15af,CLICK,Outcome-Aware,tiktok.music,Show me the trending songs in canada for the last 30 days that are approved for business use
8,532cab96-a12d-4b7f-82e1-c1c0c82e15af,CLICK,Outcome-Aware,tiktok.music,Show me the trending songs in canada for the last 30 days that are approved for business use
9,532cab96-a12d-4b7f-82e1-c1c0c82e15af,CLICK,Outcome-Aware,tiktok.music,Show me the trending songs in canada for the last 30 days that are approved for business use
10,532cab96-a12d-4b7f-82e1-c1c0c82e15af,CLICK,Outcome-Aware,tiktok.music,Show me the trending songs in canada for the last 30 days that are approved for business use
11,532cab96-a12d-4b7f-82e1-c1c0c82e15af,CLICK,Outcome-Aware,tiktok.music,Show me the trending songs in canada for the last 30 days that are approved for business use
12,532cab96-a12d-4b7f-82e1-c1c0c82e15af,CLICK,Outcome-Aware,tiktok.music,Show me the trending songs in canada for the last 30 days that are approved for business use
13,532cab96-a12d-4b7f-82e1-c1c0c82e15af,CLICK,Outcome-Aware,tiktok.music,Show me the trending songs in canada for the last 30 days that are approved for business use
14,7a301589-9098-4dd9-8a03-24f854af10db,CLICK,Outcome-Aware,tiktok.music,Play a song from the rock playlist.
15,7a301589-9098-4dd9-8a03-24f854af10db,CLICK,Outcome-Aware,tiktok.music,Play a song from the rock playlist.
16,7a301589-9098-4dd9-8a03-24f854af10db,CLICK,Outcome-Aware,tiktok.music,Play a song from the rock playlist.
17,3284c80e-860e-4734-ae95-7b151d4d0591,CLICK,Outcome-Aware,nba,play the video where Larry Bird made his NBA debut vs the Houston Rockets.
18,3284c80e-860e-4734-ae95-7b151d4d0591,CLICK,Outcome-Aware,nba,play the video where Larry Bird made his NBA debut vs the Houston Rockets.
19,3284c80e-860e-4734-ae95-7b151d4d0591,CLICK,Outcome-Aware,nba,play the video where Larry Bird made his NBA debut vs the Houston Rockets.
20,3284c80e-860e-4734-ae95-7b151d4d0591,CLICK,Outcome-Aware,nba,play the video where Larry Bird made his NBA debut vs the Houston Rockets.
21,33567ac0-2532-4b96-9ae7-e6e1093db358,CLICK,Outcome-Aware,nba,Find a medium Devin Booker jersey and add it to the shopping cart.
22,33567ac0-2532-4b96-9ae7-e6e1093db358,TYPE,Outcome-Aware,nba,Find a medium Devin Booker jersey and add it to the shopping cart.
23,33567ac0-2532-4b96-9ae7-e6e1093db358,CLICK,Outcome-Aware,nba,Find a medium Devin Booker jersey and add it to the shopping cart.
24,33567ac0-2532-4b96-9ae7-e6e1093db358,CLICK,Outcome-Aware,nba,Find a medium Devin Booker jersey and add it to the shopping cart.
25,33567ac0-2532-4b96-9ae7-e6e1093db358,CLICK,Outcome-Aware,nba,Find a medium Devin Booker jersey and add it to the shopping cart.
26,33567ac0-2532-4b96-9ae7-e6e1093db358,CLICK,Outcome-Aware,nba,Find a medium Devin Booker jersey and add it to the shopping cart.
27,802babc8-fd6c-4e8b-bab2-0bdc0a03d129,CLICK,Outcome-Aware,nba,Browse the list of women's Nike jerseys over $60.
28,802babc8-fd6c-4e8b-bab2-0bdc0a03d129,CLICK,Outcome-Aware,nba,Browse the list of women's Nike jerseys over $60.
29,802babc8-fd6c-4e8b-bab2-0bdc0a03d129,CLICK,Outcome-Aware,nba,Browse the list of women's Nike jerseys over $60.
30,802babc8-fd6c-4e8b-bab2-0bdc0a03d129,CLICK,Outcome-Aware,nba,Browse the list of women's Nike jerseys over $60.
31,802babc8-fd6c-4e8b-bab2-0bdc0a03d129,CLICK,Outcome-Aware,nba,Browse the list of women's Nike jerseys over $60.
32,86abe4d3-e8f5-4b61-82fe-6fd90cc41343,CLICK,Outcome-Aware,nba,Show me the statistics for assists per game.
33,86abe4d3-e8f5-4b61-82fe-6fd90cc41343,CLICK,Outcome-Aware,nba,Show me the statistics for assists per game.
34,86abe4d3-e8f5-4b61-82fe-6fd90cc41343,CLICK,Outcome-Aware,nba,Show me the statistics for assists per game.
35,97c9f03c-432f-4ee8-b95c-e3071bc6656b,CLICK,Outcome-Aware,nba,Play the latest video from NBA TV.
36,97c9f03c-432f-4ee8-b95c-e3071bc6656b,CLICK,Outcome-Aware,nba,Play the latest video from NBA TV.
37,97c9f03c-432f-4ee8-b95c-e3071bc6656b,CLICK,Outcome-Aware,nba,Play the latest video from NBA TV.
38,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,CLICK,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
39,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,TYPE,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
40,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,CLICK,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
41,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,TYPE,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
42,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,CLICK,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
43,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,CLICK,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
44,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,TYPE,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
45,a3cacfe8-f5b1-4d27-aa33-fea00be07f37,CLICK,Outcome-Aware,recreation.gov,"Check permit availability for a group of 4 in Brooks Camp, Katmai National Park on May 22"
46,a8e59039-ebb8-42a2-92df-74aa72ec91c5,CLICK,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
47,a8e59039-ebb8-42a2-92df-74aa72ec91c5,TYPE,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
48,a8e59039-ebb8-42a2-92df-74aa72ec91c5,CLICK,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
49,a8e59039-ebb8-42a2-92df-74aa72ec91c5,CLICK,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
50,a8e59039-ebb8-42a2-92df-74aa72ec91c5,TYPE,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
51,a8e59039-ebb8-42a2-92df-74aa72ec91c5,CLICK,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
52,a8e59039-ebb8-42a2-92df-74aa72ec91c5,CLICK,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
53,a8e59039-ebb8-42a2-92df-74aa72ec91c5,TYPE,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
54,a8e59039-ebb8-42a2-92df-74aa72ec91c5,CLICK,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
55,a8e59039-ebb8-42a2-92df-74aa72ec91c5,CLICK,Outcome-Aware,recreation.gov,"Add to cart one Private  Vehicle Pass for Yosemite National Park for April 30, for License Plate number 12345 and Zip Code 94587"
56,5a08f2d9-799b-4eff-83ce-b27548fd526a,CLICK,Outcome-Aware,macys,"Add a men's T-Shirt that is in large size with a stripe pattern, short sleeve and under the Best Sellers group to the cart."
57,5a08f2d9-799b-4eff-83ce-b27548fd526a,CLICK,Outcome-Aware,macys,"Add a men's T-Shirt that is in large size with a stripe pattern, short sleeve and under the Best Sellers group to the cart."
58,5a08f2d9-799b-4eff-83ce-b27548fd526a,CLICK,Outcome-Aware,macys,"Add a men's T-Shirt that is in large size with a stripe pattern, short sleeve and under the Best Sellers group to the cart."
59,5a08f2d9-799b-4eff-83ce-b27548fd526a,SELECT,Outcome-Aware,macys,"Add a men's T-Shirt that is in large size with a stripe pattern, short sleeve and under the Best Sellers group to the cart."
60,5a08f2d9-799b-4eff-83ce-b27548fd526a,CLICK,Outcome-Aware,macys,"Add a men's T-Shirt that is in large size with a stripe pattern, short sleeve and under the Best Sellers group to the cart."
61,5a08f2d9-799b-4eff-83ce-b27548fd526a,CLICK,Outcome-Aware,macys,"Add a men's T-Shirt that is in large size with a stripe pattern, short sleeve and under the Best Sellers group to the cart."
62,5a08f2d9-799b-4eff-83ce-b27548fd526a,CLICK,Outcome-Aware,macys,"Add a men's T-Shirt that is in large size with a stripe pattern, short sleeve and under the Best Sellers group to the cart."
63,be3b849b-8a4f-42ea-be6b-31a586883552,CLICK,Outcome-Aware,tripadvisor,Save to my trips a restaurants in Johannesburg with vegan options.
64,be3b849b-8a4f-42ea-be6b-31a586883552,TYPE,Outcome-Aware,tripadvisor,Save to my trips a restaurants in Johannesburg with vegan options.
65,be3b849b-8a4f-42ea-be6b-31a586883552,CLICK,Outcome-Aware,tripadvisor,Save to my trips a restaurants in Johannesburg with vegan options.
66,be3b849b-8a4f-42ea-be6b-31a586883552,CLICK,Outcome-Aware,tripadvisor,Save to my trips a restaurants in Johannesburg with vegan options.
67,be3b849b-8a4f-42ea-be6b-31a586883552,CLICK,Outcome-Aware,tripadvisor,Save to my trips a restaurants in Johannesburg with vegan options.
